Industrial Safety|Industrial hazards and the organisation of safe work.|Lifting equipment, pressure equipment and electrical installations.|Accident prevention, worker actions and production control.|A training course for work in the Republic of Kazakhstan.
What the course covers|General requirements apply across production operations.|Each equipment section covers documentation, authorisation and protective measures.|Practical scenarios help identify conditions that require work to stop.|Equipment-specific authorisation is arranged separately.
Purpose of industrial safety|Industrial safety protects people, property and the environment from hazardous production factors.|Accident prevention begins before equipment starts.|Emergency preparedness includes communication, evacuation and rehearsed personnel actions.|Safety must be maintained throughout the equipment life cycle.
Regulatory framework|The Kazakhstan Law on Civil Protection establishes general requirements.|Order No. 359 covers lifting equipment; Order No. 358 covers pressure equipment.|Electrical safety and hot work are governed by their specific rules.|Work instructions account for the equipment and site conditions.|A sample instruction cannot replace requirements for the actual task.
Hazardous production facilities|Hazardous substances and processes require checking the criteria for a hazardous facility.|Identification follows legislation rather than the everyday name of a business.|Hazardous technical devices are assessed according to their type and parameters.|Workers must know their area's hazards and the limits of their authorisation.|A facility name without the word hazardous does not remove the risk.
Hazardous substances and processes|Combustible substances can ignite; oxidisers intensify combustion.|Toxic substances are hazardous through inhalation and contact.|Pressure, temperature and mechanical energy can cause severe injury.|Work requires information about the substance, process and protective measures.|Hazards depend on properties and handling conditions.
Accidents and incidents|Destruction, an uncontrolled explosion or a hazardous release can indicate an accident.|Equipment failure or a process deviation can constitute an incident.|An event must be reported and examined even if nobody is injured.|Concealing a deviation prevents the organisation from averting a later accident.|Record deviations before they recur.
Duties of the organisation|The organisation maintains equipment and meets mandatory requirements.|It appoints responsible persons and establishes control procedures.|It arranges training, knowledge assessment and personnel authorisation.|It maintains readiness to contain accidents and deal with their consequences.|Appointing a responsible person does not remove the organisation's duties.
Worker actions|Workers perform assigned tasks within their training and authorisation.|They check the workplace and use the specified protective equipment.|They report defects, deviations and threats to people.|In immediate danger, they stop work and move to safety.|Do not attempt an unauthorised repair of a dangerous fault.
Training and authorisation|Training explains hazards and safe work methods.|Knowledge assessment verifies understanding of requirements.|A briefing addresses the actual task and workplace.|Practical preparation and authorisation are required where stipulated by the rules and task.|Viewing a presentation does not authorise every operation.
Production control|Control identifies breaches before an accident occurs.|Checks cover equipment, documentation, personnel and working conditions.|Each finding receives an action, an owner and a deadline.|Closure requires verification that the issue has actually been corrected.|A closed finding needs confirmation on site.
Checks before starting work|Clarify the task, work-zone boundaries and responsible persons.|Check equipment, protective devices and clear access routes.|Assess neighbouring activities and possible changes in conditions.|Do not begin until unsuitable conditions have been corrected.|Yesterday's good condition does not replace today's check.
Workplace risk assessment|Identify what could cause harm and who could enter the danger zone.|Prefer hazard elimination and engineering protection.|Organisational measures and PPE provide additional protection.|Repeat the assessment when equipment, tasks or surroundings change.|Changed conditions require a new assessment.
Work permits and coordination|Use a work permit where required by the rules and established procedures.|Specify the location, task, personnel and protective measures.|Actual workplace conditions must match the conditions of authorisation.|A changed task requires review of the permit conditions, not an informal agreement.|A signature on a permit does not replace completed protective measures.
Isolation of energy sources|Before maintenance, identify electrical, mechanical and stored energy.|Stop equipment and prevent unintended starting.|Release pressure and secure moving parts under the established procedure.|Authorised personnel verify the absence of hazardous energy.|The Stop button alone does not isolate energy.
Hot work|Welding, cutting and heating produce sparks and hot surfaces.|Remove combustible materials or protect them using the specified method.|Check adjacent rooms, openings and concealed spaces.|Provide firefighting equipment and post-work monitoring.|Sparks can travel beyond the visible work area.
Equipment documentation|The equipment passport identifies the device and its permitted parameters.|The manufacturer's manual defines operating and maintenance conditions.|Logs preserve inspection, repair and defect records.|Establish unknown parameters before operating equipment.|A nearby device's parameters cannot replace the equipment passport.
